brand_name,score,area_code
BBQ치킨,31,3120225
BBQ치킨,31,3110101
BBQ치킨,31,3120195
BBQ치킨,31,3110557
BBQ치킨,31,3130065
BBQ치킨,31,3110021
BBQ치킨,31,3110997
BBQ치킨,31,3110392
BBQ치킨,15,3120167
BBQ치킨,15,3110666
BBQ치킨,15,3111014
BBQ치킨,15,3130048
BBQ치킨,15,3111049
BBQ치킨,15,3120094
BBQ치킨,15,3130128
BBQ치킨,15,3110192
BBQ치킨,15,3110673
BBQ치킨,15,3110646
BBQ치킨,15,3130302
BBQ치킨,15,3120158
BBQ치킨,15,3110202
BBQ치킨,15,3120006
BBQ치킨,15,3120028
BBQ치킨,15,3110252
BBQ치킨,15,3130191
BBQ치킨,15,3110477
BBQ치킨,15,3110129
BBQ치킨,15,3130183
BBQ치킨,15,3110335
BBQ치킨,15,3110322
BBQ치킨,15,3001495
BBQ치킨,15,3110898
BBQ치킨,15,3110914
BBQ치킨,15,3111017
BBQ치킨,15,3120177
BBQ치킨,15,3110725
BBQ치킨,15,3130195
BBQ치킨,15,3120237
BBQ치킨,15,3110983
BBQ치킨,15,3110662
BBQ치킨,15,3110484
BBQ치킨,15,3130307
BHC,52,3130274
BHC,50,3110669
BHC,44,3110690
BHC,42,3110153
BHC,40,3111004
BHC,37,3120081
BHC,35,3110913
BHC,34,3110641
BHC,34,3130203
BHC,33,3110251
BHC,32,3120091
BHC,32,3120032
BHC,31,3120178
BHC,31,3110128
BHC,15,3130007
BHC,15,3110689
BHC,15,3120161
BHC,15,3110316
BHC,15,3110292
BNHR,54,3110131
DONO,48,3110095
FINZ,36,3120050
FOLKI,51,3130002
JVL부대찌개,40,3130038
JVL부대찌개,15,3120131
JW메리어트동대문더라운지,35,3130012
KFC,50,3120098
KFC,48,3110991
KFC,47,3120228
KFC,46,3120006
KFC,44,3120160
KFC,43,3120129
KFC,43,3120091
KFC,42,3120203
KFC,42,3120012
KFC,41,3120108
KFC,41,3120197
KFC,41,3120175
KFC,40,3110421
KFC,39,3120081
KFC,39,3120094
KFC,39,3120143
KFC,38,3120016
KFC,38,3120090
KFC,38,3120240
KFC,38,3111073
KFC,38,3111004
KFC,37,3130173
KFC,37,3120047
KFC,37,3120061
KFC,37,3120003
KFC,37,3110220
KFC,37,3120248
KFC,36,3120189
KFC,36,3120192
KFC,36,3111051
KFC,36,3110247
KFC,35,3120074
KFC,35,3130115
KFC,35,3120179
KFC,35,3120072
KFC,34,3130290
KFC,34,3110383
KFC,34,3120156
KFC,33,3120196
KFC,33,3110487
KFC,33,3120148
KFC,33,3120120
KFC,33,3130191
KFC,32,3120054
KFC,32,3130248
KFC,31,3120085
KFC,31,3110997
KFC,31,3120032
KFC,31,3120167
KFC,31,3120222
KFC,31,3120151
KFC,31,3120219
KFC,15,3120111
KFC,15,3120049
KFC,15,3120045
KFC,15,3110723
LOWIDE,48,3110120
MIP,46,3111013
NBM,15,3110686
OPNNG,37,3110957
PEEPS,33,3110120
RPM,41,3120202
SAAP,51,3130192
SAAP,15,3120149
SOUPER,44,3110974
TBD,40,3110095
THE PIZZA,15,3110869
TWGTEA,37,3120227
TWGTEA,15,3110142
The 진한 나주곰탕 1인용,15,3110369
가가솥밥,44,3120189
가가솥밥,42,3110076
가나돈까스의집,41,3120199
