area_code,당월_매출_금액,당월_매출_건수,시간대_21~24_매출_비율,연령대_30_매출_비율,연령대_50_이상_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,연령대_10_매출_비율,시간대_14~17_매출_비율,수요일_매출_비율,월요일_매출_비율,시간대_17~21_매출_비율,화요일_매출_비율,여성_매출_비율,연령대_40_매출_비율,일요일_매출_비율,시간대_11~14_매출_비율,토요일_매출_비율,금요일_매출_비율,목요일_매출_비율,연령대_20_매출_비율,남성_매출_비율
3110782,435593951,14255,9.190093383007213,28.708170732784772,41.244164267748175,0.0,7.007318129809781,0.1917205058118907,15.772986495953704,13.519199921789093,13.753626712746913,30.73064271440627,14.234583236582253,0.34908252279357666,15.712396158383928,11.148194368248111,37.29895927682304,17.10227746987296,14.743492352512426,15.49862593824825,14.14354833527123,0.6509174772064233
3110783,993365724,31647,37.50086460639204,30.94257473091733,30.49464638199003,3.434071981202413,0.1803990090536904,0.10888651705307804,4.15061828685938,17.937064887872552,14.491417015204386,34.55186113909581,16.94547193361608,0.36168437824652744,20.42149648436976,5.898797854455932,20.18218497739666,8.981516152470476,19.47846245157749,16.267269704803084,18.0323958856698,0.6383156217534726
3110784,32184115,1261,25.96585450086221,14.680175804292789,62.50956988664228,7.439575000056655,0.0,0.6900615613489025,12.425230164238672,14.275627886569085,11.036778445943847,47.62642544678707,11.605766094076422,0.36630887168439463,15.210513376818902,19.06135814526256,6.5429148880554,16.19773108723707,22.019503204632187,5.803235136278833,6.909679370897133,0.6336911283156054
3110785,704197177,39983,17.824543135184058,28.194670297982864,35.88325562522734,1.5802004975855573,10.238933643988647,0.14229880515374835,19.20606263283686,14.913583660838952,12.344740865394357,33.623180599030185,14.451146925405961,0.45276651450488614,27.170220143836826,11.805826527997771,17.52707949137469,17.449574864519974,16.381469630813335,12.653657525029647,8.609555127799224,0.5472334854951137
3110786,513818502,16872,8.366387697021091,27.94518501494131,44.34479956526698,0.0,0.1644957194213435,0.10461062444677086,24.754522582092132,13.176112626326622,17.209717931733216,29.79707290535238,17.75967362384892,0.47982132327094407,19.422605688751446,1.379245301857688,36.917521096113056,12.774040860132914,23.57887930224996,14.122330353850678,8.182799106593489,0.5201786767290558
3110787,1103998352,33775,11.890426696150351,19.731550287375875,51.06839202604915,2.6973160427363627,0.5807644458808265,0.06304714344008588,12.1498129173149,12.182402497623077,12.455560883809692,44.41533706722953,10.042184453813563,0.3762232909187135,24.412049226065115,20.324564964826376,28.26634283068803,17.413964964285604,14.133006374410101,13.448315861231587,4.724961317069767,0.6237767090812865
3110788,356104268,17861,8.017659872585408,32.99824817658253,32.44443058234885,0.0,1.694224288263796,0.1046801552904881,16.029410240036775,15.310457610128951,15.366802343408024,39.12770935955196,15.029548873590024,0.3324495551910764,17.60823743063691,3.3198908472503903,35.130996239562066,20.168891095683243,14.577741595616034,16.226667634323327,16.844403655141228,0.6675504448089236
3110789,2583487892,110971,5.4767245420766,23.879643268441054,35.529257829506854,0.1424223039127724,8.766792351288231,0.4112972272187765,18.28259864204626,17.28512448284727,11.09901577456174,35.44162821466243,13.420586123105702,0.4582139762398178,24.98376582462695,14.559318286724999,31.8898339460137,15.043072454008566,15.464444557762189,13.128438320989536,15.196035850206366,0.5417860237601821
3110790,2291145939,165195,24.14868135569294,21.721014757039814,37.2873808299022,6.552195820723804,4.410829483114941,0.5974921679290517,13.644224038441036,15.050416510106066,11.965218485764659,38.30798771242402,8.938344495219612,0.42757131199421666,26.62846336004203,17.801075916790534,12.936081589603257,17.772490834950503,16.61224806161422,11.860205695554406,13.765648885086911,0.5724286880057833
3110791,486921159,8707,19.83585121076935,34.53921074141868,30.50116759848795,11.36389616900715,0.08161710178652666,0.2540093005757636,19.86492718667512,7.956904105203564,8.771458729935413,36.67659575800247,6.570705350287478,0.4192305220808376,24.041343069156913,28.88162652594519,12.17711257375938,14.375475133932328,23.382988824595213,10.060841330100818,10.664269290360695,0.5807694779191624
3110792,1262763773,72216,18.898051632803917,22.680977112840473,39.453168620804945,1.6088248052037586,5.333972588733439,0.2997048364644254,21.68128585917761,10.923020714580902,16.29971161099484,37.35986070011571,10.305271561925661,0.38879874596060715,24.797749482827186,20.390460388796672,15.118004413965563,17.71180475177204,13.520993178255818,10.84873779367406,12.768399947062974,0.6112012540393927
3110793,220084755,6156,3.4382685888443296,10.938645253360985,63.33360360513716,0.34295015118153,0.2774826452654569,0.0413409832966486,14.048908567065446,13.911400178535766,12.521793706247394,32.61013376414918,14.541557410462165,0.4825024598497087,22.336206438129675,14.540324703544323,49.28225628349406,15.517677723747836,14.902175754972216,14.065070522490302,3.350203720075545,0.5174975401502913
3110794,999760204,49168,9.084895977946037,31.201309293660955,29.964699766401058,0.0026090522602147,6.912850676069176,0.49280892467243714,15.475196826436115,15.571189484834312,15.657143200405601,34.384987098954234,14.008034322519507,0.4806574641559765,20.145694770446084,14.124912363006125,34.13946036833423,10.92103098030567,15.367741530533124,14.349948118395659,18.19548724481947,0.5193425358440236
3110795,19698654,503,5.563649171156567,13.146405449123112,57.9583554197645,10.11655415644135,0.0,0.0,7.721730631950792,18.28446755803721,12.484066170206347,23.44746498923226,0.0,0.6047682537257775,25.5708595581915,35.530869266499124,53.15060105121904,1.4114010023222905,5.800401387830864,26.48879461510416,3.324379572920886,0.3952317462742226
3110796,343703547,8388,13.99301270521948,33.95119059890474,36.16820187144513,0.0,0.3506789529873545,0.0,4.408573938865985,13.526754206001836,17.666080123403557,48.19249246793487,18.92195747400884,0.3470859901830623,20.57052475175997,8.610680703856687,33.05524193499231,10.77464615167326,16.818145900600786,13.681735440455023,9.310082777890164,0.6529140098169377
3110797,69883168,5685,1.8061387829469893,21.558280279574625,33.71428807212444,0.0,6.681732001617329,0.5883467155761013,16.47565262067112,18.20684631812913,9.19581092831968,23.5816513069356,9.65978531482717,0.3666675702987401,34.67113633195197,11.769247496049406,51.45482528782897,21.0045572061072,14.95282955689702,15.210923179670388,9.467948600772862,0.6333324297012599
3110798,465438912,5784,17.632667334870362,15.553891575774,54.14688976541544,0.0,0.0,0.0981267876198898,7.642876880908488,11.208094908919003,11.249564368180716,66.88255536314077,9.194725644253824,0.310831276836511,24.108034499423585,21.7167152109534,7.841900421080393,18.692020533083404,15.407015432349583,12.531863902260069,6.09305737176709,0.689168723163489
