brand_name,월간 총 검색량,월간 데스크톱 검색량,월간 모바일 검색량,일평균 검색량,블로그최근한달발행량,블로그전체기간발행량,카페최근한달발행량,카페전체기간발행량,VIEW최근한달발행량,VIEW전체기간발행량,어제까지검색량,월말까지검색량,블로그포화지수,카페포화지수,VIEW포화지수,연별 검색량-2016년,연별 검색량-2017년,연별 검색량-2018년,연별 검색량-2019년,연별 검색량-2020년,연별 검색량-2021년,연별 검색량-2022년,월별 검색비율-1월,월별 검색비율-2월,월별 검색비율-3월,월별 검색비율-4월,월별 검색비율-5월,월별 검색비율-6월,월별 검색비율-7월,월별 검색비율-8월,월별 검색비율-9월,월별 검색비율-10월,월별 검색비율-11월,월별 검색비율-12월,요일비율-월,요일비율-화,요일비율-수,요일비율-목,요일비율-금,요일비율-토,요일비율-일,연령별검색비율 - 10대 ,연령별검색비율 - 20대 ,연령별검색비율 - 30대 ,연령별검색비율 - 40대 ,연령별검색비율 - 50대 이상 ,성별검색비율 - 남성,성별검색비율 - 여성,이슈성,정보성,상업성
식사준비,8740,980,7760,291.3333333333333,281141,9793482,59599,2192688,342444,12046101,1080,10300.0,3216.716247139588,681.9107551487414,3918.12357,380,250,170,140,5870,307000,263700,7.321015552601732,7.879850553191796,7.6756533074570354,8.519973807,8.052295569587018,9.148968266,8.548037092,9.764728086,8.725141952088428,7.8668841496519715,6.9988306826952975,9.498620981383064,13.921154850203072,13.982411268483608,14.271948476990923,14.599111601762834,15.40554492603458,14.199864512561202,13.61996436396378,1.45,11.22,33.48,39.72,14.13,28.49,71.51,0.2124645892351275,36.86189137,63.13810863
간단하게,460,150,310,15.333333333333334,263790,15460137,240211,7409982,506521,22984470,80,530.0,57345.65217391304,52219.782608695656,110113.26086956522,13500,11000,9250,6970,7150,8220,8030,7.360607094070483,7.311529141,9.028826866369846,9.432730389314417,9.381059841997894,8.811679136923578,7.811630866,7.706279020284057,8.320920788351229,8.524437469464532,8.922273076116745,7.388026310228351,15.967538320685978,16.81957421181461,16.326384701067138,15.850710783077226,14.325585788246435,9.824838321162815,10.885367873945803,9.41,32.94,28.63,19.22,9.8,37.65,62.35,2.2043386983904827,95.4097452,4.590254800000004
대다,7990,1610,6380,266.3333333333333,244974,17098368,387679,14008601,635816,31262504,1010,7520.0,3066.007509386733,4852.052565707134,7957.647059,71300,77500,84700,90600,102500,109500,109900,7.743174481583857,7.94666352,8.232920701109489,8.789891957538304,8.836090244108059,8.877726958163937,8.576216704518941,8.464372530734334,8.642639099410836,8.325027746964585,8.065185038673727,7.500091016872773,14.851550476389717,15.140006439402091,15.23337312025623,15.25894746837922,14.414867099020752,12.409498687963794,12.691756708588189,17.17,39.97,24.01,13.22,5.62,34.5,65.5,0.069084629,89.30306144,10.696938560000005
선호,6320,1060,5260,210.66666666666663,239992,11587130,201964,10053294,444166,21748626,1080,8890.0,3797.3417721518986,3195.632911392405,7027.943037974685,37000,79200,79200,151300,163200,153200,92400,10.496115986104735,7.104088897912379,6.242830511,6.645027707925119,6.5849372810700535,6.034314656041489,5.572870652757081,5.707567534257779,6.875144121212069,9.504522418720969,8.155240796152032,21.07733943725619,12.514548583429187,13.156057582339349,11.683041416650676,10.370045964522372,9.811040043279084,10.072211037495409,32.393055372283925,17.07,27.2,23.88,21.23,10.61,32.77,67.23,11.57167530224525,94.5981574,5.401842599999998
치킨처럼,430,80,350,14.333333333333334,216428,12615855,65211,5493676,283047,18200079,70,570.0,50332.09302325581,15165.348837209302,65824.88372093023,17200,14600,20000,12200,6540,2930,6820,9.296067912205926,8.717224005974678,7.977995143884431,7.386643505795738,7.745623260897476,8.691466673587815,7.727857720697716,7.808393617282659,8.752683057038176,9.373999461,8.902145263,7.619900379091414,14.003035602115158,14.344363314865552,14.319094192056577,14.601824282902632,16.291501581971197,14.02807245879026,12.412108567298633,5.07,33.73,27.76,19.7,13.73,50.45,49.55,3.346527527887729,59.66959585,40.33040415
파스타입니다,8390,1040,7350,279.6666666666667,213031,8876040,16459,1243025,230637,10169660,1130,9040.0,2539.106078665078,196.1740166865316,2748.9511323003576,0,50,20,30,48000,216600,184600,11.443596871963765,9.344361268563068,8.367682919021666,7.725754888529106,6.783964642668266,6.883417512219146,8.528414032340342,7.709652120168461,7.787301404456507,7.485757098964572,7.796828678534863,10.143268562570237,13.718473140654517,13.861179267480924,14.00375808805878,14.306148543432062,14.641856769106838,14.37613587476262,15.092448316504262,16.17,35.84,23.29,17.15,7.55,32.48,67.52,1.6381236038719285,27.951387835999995,72.04861216
파스타예요,1520,230,1290,50.66666666666666,213030,8876019,16459,1243026,230636,10169640,290,2250.0,14015.131578947368,1082.828947368421,15173.42105263158,0,0,0,0,0,10,120,3.771545371351809,3.623203881432121,3.31564414888734,7.475929419133653,8.253650361713962,8.116929794201022,8.733683610788603,9.463771989877998,10.853860680070207,11.108296387057786,14.740601029862766,10.542883325622723,14.526050507155851,13.910662075010654,14.662295977488691,14.959488682614028,14.326414977098494,14.051366709357913,13.563721071274363,5.13,47.13,24.81,14.11,8.81,36.87,63.13,0.5865102639296188,51.58015829,48.41984171
갈비고,190,10,180,6.333333333333333,210778,7532333,26615,2153362,238580,9734123,10,,110935.7894736842,14007.894736842103,125568.4210526316,0,230,60,0,10,800,1740,7.260424456732858,7.899341715569472,7.894533259,9.897194649647806,8.314794110919609,7.438879150265884,9.394038241926724,9.200938535286598,8.433590060846633,8.574275099263208,8.047918780908615,7.644071940113204,14.857599381415708,14.771798740081255,13.46469875942368,13.16548341861496,14.18885755721976,14.727269218964237,14.824292924280403,1.83,20.12,10.98,11.59,55.49,21.34,78.66,4.025423728813559,81.3219472,18.678052800000003
안주,10870,2370,8500,362.3333333333333,207059,9212255,29897,2635424,238141,11906917,1380,11230.0,1904.8666053357867,275.04139834406624,2190.809567617295,153400,162600,171900,146600,154900,152900,161600,8.545069367946766,8.331827941294796,8.932269053301814,8.848495758792124,8.506192902357002,8.355920187,8.007448145661325,8.232806262994707,8.122726845,7.531387927034045,7.814038591419258,8.771817016235206,13.736981524017764,14.415972422448464,14.53414674574579,14.55694380685042,15.676803454853678,14.373838485564711,12.70531356051917,10.18,21.93,27.32,28.26,12.31,39.61,60.39,2.31433506,28.93802909,71.06197091
그램그램,5360,550,4810,178.66666666666666,197888,10471466,111108,3234032,310541,13774025,850,6650.0,3691.940298507463,2072.910447761194,5793.675373134328,1033200,494500,281000,162700,104900,84600,92400,12.390628433764473,11.602096209874514,10.000675098413504,8.627078024980232,8.760298636,7.2098250215578545,6.978885523855857,8.237695666279143,6.255990065609337,5.817284227422525,6.219675307327372,7.899867784780175,12.28678480197425,12.119756154199916,12.130688188785516,12.289705136532069,14.2550854863336,18.31828327,18.59969696345024,6.17,20.54,25.68,28.89,18.73,49.34,50.66,6.804835924006908,71.70643041,28.293569588000004
